,Match_id,Unnamed: 0,Team1,Team2,Gender,Series/Competition,Toss_decision,Winner_runs,Winner_wickets,Bat_Runs_1,Ball Faced_1,Over_1,Runs_1,Wicket_1,Bat_Runs_2,Ball Faced_2,Over_2,Runs_2,Wicket_2,Bat_Runs_3,Ball Faced_3,Over_3,Runs_3,Wicket_3,Bat_Runs_4,Ball Faced_4,Over_4,Runs_4,Wicket_4,Bat_Runs_5,Ball Faced_5,Over_5,Runs_5,Wicket_5,Bat_Runs_6,Ball Faced_6,Over_6,Runs_6,Wicket_6,Bat_Runs_7,Ball Faced_7,Over_7,Runs_7,Wicket_7,Bat_Runs_8,Ball Faced_8,Over_8,Runs_8,Wicket_8,Bat_Runs_9,Ball Faced_9,Over_9,Runs_9,Wicket_9,Bat_Runs_10,Ball Faced_10,Over_10,Runs_10,Wicket_10,Bat_Runs_11,Ball Faced_11,Over_11,Runs_11,Wicket_11,Bat_Runs_12,Ball Faced_12,Over_12,Runs_12,Wicket_12,Bat_Runs_13,Ball Faced_13,Over_13,Runs_13,Wicket_13,Bat_Runs_14,Ball Faced_14,Over_14,Runs_14,Wicket_14,Bat_Runs_15,Ball Faced_15,Over_15,Runs_15,Wicket_15,Bat_Runs_16,Ball Faced_16,Over_16,Runs_16,Wicket_16,Bat_Runs_17,Ball Faced_17,Over_17,Runs_17,Wicket_17,Bat_Runs_18,Ball Faced_18,Over_18,Runs_18,Wicket_18,Bat_Runs_19,Ball Faced_19,Over_19,Runs_19,Wicket_19,Bat_Runs_20,Ball Faced_20,Over_20,Runs_20,Wicket_20,Bat_Runs_21,Ball Faced_21,Over_21,Runs_21,Wicket_21,Bat_Runs_22,Ball Faced_22,Over_22,Runs_22,Wicket_22,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22
2,1019973,21,New Zealand,Bangladesh,male,Bangladesh in New Zealand ODI Series,bat,77,,15,17,-,-,-,137,118,-,-,-,31,36,-,-,-,22,32,-,-,-,12,13,7,31,3,87,60,-,-,-,5,6,-,-,-,8,7,10,58,1,7,3,10,60,3,-,-,9,40,0,-,-,9,49,3,38,57,-,-,-,16,21,-,-,-,1,8,4,25,0,0,3,-,-,-,59,53,10,68,3,42,46,-,-,-,16,11,-,-,-,50,44,7,40,0,14,10,10,61,0,2,11,9,70,2,0,1,10,60,2,MJ Guptill,TWM Latham,KS Williamson,NT Broom,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,TA Boult,LH Ferguson,Tamim Iqbal,Imrul Kayes,Soumya Sarkar,Mahmudullah,Shakib Al Hasan,Mushfiqur Rahim,Sabbir Rahman,Mosaddek Hossain,Mashrafe Mortaza,Taskin Ahmed,Mustafizur Rahman
3,1019975,22,New Zealand,Bangladesh,male,Bangladesh in New Zealand ODI Series,field,67,,0,4,-,-,-,14,34,5,21,3,22,34,-,-,-,109,107,-,-,-,28,31,2,12,0,3,7,2,12,0,35,38,-,-,-,9,17,8,19,2,3,7,9,31,2,4,6,8,50,1,12,11,8.5,23,2,16,23,-,-,-,59,88,-,-,-,38,48,-,-,-,1,9,-,-,-,7,10,10,45,2,3,8,2,12,1,2,5,8,47,0,24,30,-,-,-,17,19,10,47,3,0,4,10,44,3,1,9,10,44,1,MJ Guptill,KS Williamson,TWM Latham,NT Broom,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,LH Ferguson,TA Boult,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Shakib Al Hasan,Mosaddek Hossain,Tanbir Hayder,Nurul Hasan,Mashrafe Mortaza,Taskin Ahmed,Subashis Roy
4,1020013,24,New Zealand,Australia,male,Chappell-Hadlee Trophy,field,6,,61,70,-,-,-,7,9,-,-,-,24,33,-,-,-,16,24,-,-,-,73,73,-,-,-,2,6,3,18,1,48,45,5,45,0,7,19,10,43,3,0,1,10,63,2,3,6,10,44,2,16,7,9,53,2,4,7,-,-,-,5,15,5,19,1,16,21,-,-,-,7,7,-,-,-,20,24,-,-,-,4,11,-,-,-,146,116,10,43,3,25,48,6,29,1,36,28,9,62,2,3,3,10,57,1,0,0,10,47,1,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,C Munro,JDS Neesham,MJ Santner,TG Southee,LH Ferguson,TA Boult,AJ Finch,TM Head,SE Marsh,PSP Handscomb,GJ Maxwell,SD Heazlett,MP Stoinis,JP Faulkner,PJ Cummins,MA Starc,JR Hazlewood
5,1020031,25,New Zealand,South Africa,male,South Africa in New Zealand ODI Series,field,,4,31,39,-,-,-,0,11,-,-,-,59,53,2,16,1,1,3,-,-,-,2,4,-,-,-,29,35,-,-,-,17,27,7,33,1,34,19,4,27,0,24,12,7,44,2,-,-,7,45,1,-,-,7,36,1,69,64,-,-,-,35,43,-,-,-,14,18,-,-,-,37,33,-,-,-,1,4,1,4,0,0,1,-,-,-,16,15,7,61,4,29,20,5,27,0,-,-,7,24,2,-,-,7,42,0,-,-,7,39,1,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,TA Boult,IS Sodhi,Q de Kock,HM Amla,F du Plessis,AB de Villiers,JP Duminy,F Behardien,CH Morris,AL Phehlukwayo,K Rabada,Imran Tahir,T Shamsi
6,1020033,26,New Zealand,South Africa,male,South Africa in New Zealand ODI Series,field,6,,34,43,-,-,-,2,6,-,-,-,69,75,3,16,0,102,109,-,-,-,2,8,-,-,-,71,57,3,19,0,-,-,10,59,1,-,-,10,60,4,-,-,4,10,1,-,-,10,61,1,-,-,10,46,2,10,13,-,-,-,57,65,-,-,-,11,16,-,-,-,34,44,3,17,0,45,48,-,-,-,28,39,-,-,-,50,27,10,39,2,7,8,10,56,0,0,4,8,47,1,29,34,9,62,0,-,-,10,59,1,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,TG Southee,TA Boult,C de Grandhomme,IS Sodhi,MJ Santner,HM Amla,Q de Kock,F du Plessis,JP Duminy,AB de Villiers,DA Miller,D Pretorius,CH Morris,WD Parnell,AL Phehlukwayo,Imran Tahir
7,1020035,27,New Zealand,South Africa,male,South Africa in New Zealand ODI Series,bat,159,,68,70,-,-,-,7,19,-,-,-,36,46,-,-,-,85,80,-,-,-,16,33,-,-,-,3,7,-,-,-,11,11,5.2,5,3,35,31,8,33,2,1,1,5,11,2,-,-,10,33,2,-,-,4,22,1,2,5,-,-,-,0,7,-,-,-,23,40,-,-,-,18,40,-,-,-,0,4,-,-,-,13,22,-,-,-,1,8,10,45,2,34,34,10,38,2,5,6,10,64,1,4,13,10,68,1,4,15,10,47,2,Q de Kock,HM Amla,F du Plessis,AB de Villiers,JP Duminy,DA Miller,D Pretorius,WD Parnell,AL Phehlukwayo,K Rabada,Imran Tahir,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,LH Ferguson,TA Boult
8,1020037,28,New Zealand,South Africa,male,South Africa in New Zealand ODI Series,bat,,7,40,38,-,-,-,0,1,-,-,-,67,97,-,-,-,25,41,3,26,0,72,59,-,-,-,1,4,-,-,-,10,21,8,55,0,28,27,9,53,0,29,12,7,44,0,-,-,8,38,1,-,-,10,56,2,180,137,-,-,-,4,10,-,-,-,21,24,3,17,0,66,94,-,-,-,1,1,-,-,-,-,-,10,55,3,-,-,10,40,1,-,-,10,68,1,-,-,10,68,2,-,-,2,10,0,-,-,5,14,1,HM Amla,Q de Kock,F du Plessis,JP Duminy,AB de Villiers,DA Miller,D Pretorius,CH Morris,WD Parnell,K Rabada,Imran Tahir,MJ Guptill,DG Brownlie,KS Williamson,LRPL Taylor,L Ronchi,JS Patel,MJ Santner,TA Boult,TG Southee,C de Grandhomme,JDS Neesham
9,1020039,29,New Zealand,South Africa,male,South Africa in New Zealand ODI Series,field,,6,4,16,-,-,-,24,37,-,-,-,9,15,-,-,-,8,20,-,-,-,8,12,-,-,-,24,24,2,9,1,24,50,2,9,0,32,48,4,13,1,6,7,10,38,0,0,4,5,25,2,0,12,9.2,42,0,6,10,-,-,-,8,28,-,-,-,51,88,-,-,-,3,10,-,-,-,23,21,-,-,-,45,35,-,-,-,-,-,7.1,23,3,-,-,9,31,1,-,-,10,14,3,-,-,7,35,2,-,-,8,36,1,MJ Guptill,DG Brownlie,KS Williamson,L Ronchi,LRPL Taylor,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,JS Patel,TA Boult,Q de Kock,HM Amla,F du Plessis,JP Duminy,AB de Villiers,DA Miller,K Rabada,CH Morris,Imran Tahir,AL Phehlukwayo,D Pretorius
10,1022351,32,South Africa,Sri Lanka,male,ICC Champions Trophy,field,96,,103,115,-,-,-,23,42,-,-,-,75,70,-,-,-,4,4,-,-,-,18,22,-,-,-,38,20,2,6,0,20,18,7,31,3,7,8,10,53,0,-,-,8,42,1,-,-,6,29,1,-,-,8.3,27,5,41,30,-,-,-,57,69,-,-,-,11,10,-,-,-,12,21,-,-,-,0,1,-,-,-,44,65,-,-,-,4,13,10,63,1,13,20,10,71,1,0,3,10,49,1,1,2,10,52,0,5,12,10,53,3,HM Amla,Q de Kock,F du Plessis,AB de Villiers,DA Miller,JP Duminy,CH Morris,WD Parnell,K Rabada,M Morkel,Imran Tahir,N Dickwella,WU Tharanga,BKG Mendis,LD Chandimal,CK Kapugedera,MDKJ Perera,DAS Gunaratne,S Prasanna,RAS Lakmal,SL Malinga,N Pradeep
11,1022357,35,England,New Zealand,male,ICC Champions Trophy,field,87,,13,23,-,-,-,56,62,-,-,-,64,65,-,-,-,13,12,-,-,-,48,53,8,43,1,61,47,-,-,-,12,11,-,-,-,12,10,10,46,2,15,10,9.3,55,4,0,1,9,32,1,0,1,8,31,2,27,30,-,-,-,0,1,-,-,-,87,96,-,-,-,39,59,-,-,-,11,21,-,-,-,18,14,3,17,0,10,15,9,52,3,3,9,8,53,1,10,11,10,74,3,2,5,9.3,42,2,-,-,10,56,1,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,AU Rashid,LE Plunkett,MA Wood,JT Ball,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult
