Match_id,Team1,Team2,Series/Competition,Toss_decision,Winner_runs,Winner_wickets,Bat_Runs_1,Ball Faced_1,Over_1,Runs_1,Wicket_1,Bat_Runs_2,Ball Faced_2,Over_2,Runs_2,Wicket_2,Bat_Runs_3,Ball Faced_3,Over_3,Runs_3,Wicket_3,Bat_Runs_4,Ball Faced_4,Over_4,Runs_4,Wicket_4,Bat_Runs_5,Ball Faced_5,Over_5,Runs_5,Wicket_5,Bat_Runs_6,Ball Faced_6,Over_6,Runs_6,Wicket_6,Bat_Runs_7,Ball Faced_7,Over_7,Runs_7,Wicket_7,Bat_Runs_8,Ball Faced_8,Over_8,Runs_8,Wicket_8,Bat_Runs_9,Ball Faced_9,Over_9,Runs_9,Wicket_9,Bat_Runs_10,Ball Faced_10,Over_10,Runs_10,Wicket_10,Bat_Runs_11,Ball Faced_11,Over_11,Runs_11,Wicket_11,Bat_Runs_12,Ball Faced_12,Over_12,Runs_12,Wicket_12,Bat_Runs_13,Ball Faced_13,Over_13,Runs_13,Wicket_13,Bat_Runs_14,Ball Faced_14,Over_14,Runs_14,Wicket_14,Bat_Runs_15,Ball Faced_15,Over_15,Runs_15,Wicket_15,Bat_Runs_16,Ball Faced_16,Over_16,Runs_16,Wicket_16,Bat_Runs_17,Ball Faced_17,Over_17,Runs_17,Wicket_17,Bat_Runs_18,Ball Faced_18,Over_18,Runs_18,Wicket_18,Bat_Runs_19,Ball Faced_19,Over_19,Runs_19,Wicket_19,Bat_Runs_20,Ball Faced_20,Over_20,Runs_20,Wicket_20,Bat_Runs_21,Ball Faced_21,Over_21,Runs_21,Wicket_21,Bat_Runs_22,Ball Faced_22,Over_22,Runs_22,Wicket_22,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22
1019973,6,2,17,0,77.0,6.0,15,17,2.0,11.0,0.0,137,118,2.0,17.0,0.0,31,36,1.0,7.0,0.0,22,32,4.0,16.0,0.0,12,13,7.0,31.0,3.0,87.0,60.0,2.0,21.0,0.0,5.0,6.0,10.0,19.0,0.0,8.0,7.0,10.0,58.0,1.0,7.0,3.0,10.0,60.0,3.0,0.0,1.0,9.0,40.0,0.0,0.0,1.0,9.0,49.0,3.0,38.0,57.0,10.0,17.0,0.0,16,21,10.0,14.0,0.0,1,8,4.0,25.0,0.0,0.0,3.0,3.0,14.0,0.0,59.0,53.0,10.0,68.0,3.0,42.0,46.0,10.0,28.0,0.0,16.0,11.0,10.0,27.0,0.0,50.0,44.0,7.0,40.0,0.0,14.0,10.0,10.0,61.0,0.0,2.0,11.0,9.0,70.0,2.0,0.0,1.0,10.0,60.0,2.0,71,159,91,103,68,22,122,144,202,218,104,127,65,179,101,171,135,237,156,146,233,161
1019975,6,2,17,1,67.0,6.0,0,4,2.0,11.0,0.0,14,34,5.0,21.0,3.0,22,34,1.0,7.0,0.0,109,107,4.0,16.0,0.0,28,31,2.0,12.0,0.0,3.0,7.0,2.0,12.0,0.0,35.0,38.0,10.0,19.0,0.0,9.0,17.0,8.0,19.0,2.0,3.0,7.0,9.0,31.0,2.0,4.0,6.0,8.0,50.0,1.0,12.0,11.0,8.5,23.0,2.0,16.0,23.0,10.0,17.0,0.0,59,88,10.0,14.0,0.0,38,48,2.0,12.0,0.0,1.0,9.0,3.0,14.0,0.0,7.0,10.0,10.0,45.0,2.0,3.0,8.0,2.0,12.0,1.0,2.0,5.0,8.0,47.0,0.0,24.0,30.0,10.0,37.0,1.0,17.0,19.0,10.0,47.0,3.0,0.0,4.0,10.0,44.0,3.0,1.0,9.0,10.0,44.0,1.0,71,79,172,103,68,22,122,144,202,117,208,127,65,170,101,171,134,259,168,146,233,234
1020013,6,1,24,1,6.0,6.0,61,70,2.0,11.0,0.0,7,9,2.0,17.0,0.0,24,33,1.0,7.0,0.0,16,24,4.0,16.0,0.0,73,73,10.0,26.0,0.0,2.0,6.0,3.0,18.0,1.0,48.0,45.0,5.0,45.0,0.0,7.0,19.0,10.0,43.0,3.0,0.0,1.0,10.0,63.0,2.0,3.0,6.0,10.0,44.0,2.0,16.0,7.0,9.0,53.0,2.0,4.0,7.0,10.0,17.0,0.0,5,15,5.0,19.0,1.0,16,21,2.0,12.0,0.0,7.0,7.0,3.0,14.0,0.0,20.0,24.0,10.0,29.0,0.0,4.0,11.0,10.0,28.0,0.0,146.0,116.0,10.0,43.0,3.0,25.0,48.0,6.0,29.0,1.0,36.0,28.0,9.0,62.0,2.0,3.0,3.0,10.0,57.0,1.0,0.0,0.0,10.0,47.0,1.0,71,159,91,80,118,22,94,144,202,117,208,4,187,160,121,58,166,146,103,175,129,106
1020031,6,8,83,1,5.0,4.0,31,39,2.0,11.0,0.0,0,11,2.0,17.0,0.0,59,53,2.0,16.0,1.0,1,3,4.0,16.0,0.0,2,4,10.0,26.0,0.0,29.0,35.0,2.0,21.0,0.0,17.0,27.0,7.0,33.0,1.0,34.0,19.0,4.0,27.0,0.0,24.0,12.0,7.0,44.0,2.0,0.0,1.0,7.0,45.0,1.0,0.0,1.0,7.0,36.0,1.0,69.0,64.0,10.0,17.0,0.0,35,43,10.0,14.0,0.0,14,18,2.0,12.0,0.0,37.0,33.0,3.0,14.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,10.0,28.0,0.0,16.0,15.0,7.0,61.0,4.0,29.0,20.0,5.0,27.0,0.0,0.0,2.0,7.0,24.0,2.0,0.0,1.0,7.0,42.0,0.0,0.0,2.0,7.0,39.0,1.0,23,159,91,80,118,75,139,37,202,218,69,99,57,50,2,84,51,36,9,114,86,242
1020033,6,8,83,1,6.0,6.0,34,43,2.0,11.0,0.0,2,6,2.0,17.0,0.0,69,75,3.0,16.0,0.0,102,109,4.0,16.0,0.0,2,8,10.0,26.0,0.0,71.0,57.0,3.0,19.0,0.0,0.0,5.0,10.0,59.0,1.0,1.0,3.0,10.0,60.0,4.0,0.0,1.0,4.0,10.0,1.0,0.0,1.0,10.0,61.0,1.0,0.0,1.0,10.0,46.0,2.0,10.0,13.0,10.0,17.0,0.0,57,65,10.0,14.0,0.0,11,16,2.0,12.0,0.0,34.0,44.0,3.0,17.0,0.0,45.0,48.0,10.0,29.0,0.0,28.0,39.0,10.0,28.0,0.0,50.0,27.0,10.0,39.0,2.0,7.0,8.0,10.0,56.0,0.0,0.0,4.0,8.0,47.0,1.0,29.0,34.0,9.0,62.0,0.0,0.0,2.0,10.0,59.0,1.0,23,159,91,80,118,75,221,229,40,79,120,45,145,50,77,3,38,51,33,234,17,87
1020035,6,8,83,0,159.0,6.0,68,70,2.0,11.0,0.0,7,19,2.0,17.0,0.0,36,46,1.0,7.0,0.0,85,80,4.0,16.0,0.0,16,33,10.0,26.0,0.0,3.0,7.0,2.0,21.0,0.0,11.0,11.0,5.2,5.0,3.0,35.0,31.0,8.0,33.0,2.0,1.0,1.0,5.0,11.0,2.0,0.0,1.0,10.0,33.0,2.0,0.0,1.0,4.0,22.0,1.0,2.0,5.0,10.0,17.0,0.0,0,7,10.0,14.0,0.0,23,40,2.0,12.0,0.0,18.0,40.0,3.0,14.0,0.0,0.0,4.0,10.0,29.0,0.0,13.0,22.0,10.0,28.0,0.0,1.0,8.0,10.0,45.0,2.0,34.0,34.0,10.0,38.0,2.0,5.0,6.0,10.0,64.0,1.0,4.0,13.0,10.0,68.0,1.0,4.0,15.0,10.0,47.0,2.0,90,45,54,3,76,38,47,238,15,103,72,26,188,101,88,130,78,141,32,225,119,244
1020037,6,8,83,0,5.0,7.0,40,38,2.0,11.0,0.0,0,1,2.0,17.0,0.0,67,97,1.0,7.0,0.0,25,41,3.0,26.0,0.0,72,59,10.0,26.0,0.0,1.0,4.0,2.0,21.0,0.0,10.0,21.0,8.0,55.0,0.0,28.0,27.0,9.0,53.0,0.0,29.0,12.0,7.0,44.0,0.0,0.0,1.0,8.0,38.0,1.0,0.0,1.0,10.0,56.0,2.0,180.0,137.0,10.0,17.0,0.0,4,10,10.0,14.0,0.0,21,24,3.0,17.0,0.0,66.0,94.0,3.0,14.0,0.0,1.0,1.0,10.0,29.0,0.0,0.0,7.0,10.0,55.0,3.0,0.0,8.0,10.0,40.0,1.0,0.0,1.0,10.0,68.0,1.0,0.0,2.0,10.0,68.0,2.0,0.0,1.0,2.0,10.0,0.0,0.0,2.0,5.0,14.0,1.0,39,119,54,66,3,38,47,39,217,103,72,84,34,101,88,93,88,141,229,225,38,97
1020039,6,8,83,1,5.0,6.0,4,16,2.0,11.0,0.0,24,37,2.0,17.0,0.0,9,15,1.0,7.0,0.0,8,20,4.0,16.0,0.0,8,12,10.0,26.0,0.0,24.0,24.0,2.0,9.0,1.0,24.0,50.0,2.0,9.0,0.0,32.0,48.0,4.0,13.0,1.0,6.0,7.0,10.0,38.0,0.0,0.0,4.0,5.0,25.0,2.0,0.0,12.0,9.2,42.0,0.0,6.0,10.0,10.0,17.0,0.0,8,28,10.0,14.0,0.0,51,88,2.0,12.0,0.0,3.0,10.0,3.0,14.0,0.0,23.0,21.0,10.0,29.0,0.0,45.0,35.0,10.0,28.0,0.0,0.0,8.0,7.1,23.0,3.0,0.0,1.0,9.0,31.0,1.0,0.0,2.0,10.0,14.0,3.0,0.0,1.0,7.0,35.0,2.0,0.0,2.0,8.0,36.0,1.0,71,29,91,75,92,75,139,37,202,99,208,99,57,50,77,3,38,111,33,92,17,46
1022351,8,9,38,1,96.0,6.0,103,115,2.0,11.0,0.0,23,42,2.0,17.0,0.0,75,70,1.0,7.0,0.0,4,4,4.0,16.0,0.0,18,22,10.0,26.0,0.0,38.0,20.0,2.0,6.0,0.0,20.0,18.0,7.0,31.0,3.0,7.0,8.0,10.0,53.0,0.0,0.0,1.0,8.0,42.0,1.0,0.0,1.0,6.0,29.0,1.0,0.0,1.0,8.3,27.0,5.0,41.0,30.0,10.0,17.0,0.0,57,69,10.0,14.0,0.0,11,10,2.0,12.0,0.0,12.0,21.0,3.0,14.0,0.0,0.0,1.0,10.0,29.0,0.0,44.0,65.0,10.0,28.0,0.0,4.0,13.0,10.0,63.0,1.0,13.0,20.0,10.0,71.0,1.0,0.0,3.0,10.0,49.0,1.0,1.0,2.0,10.0,52.0,0.0,5.0,12.0,10.0,53.0,3.0,39,119,54,3,30,84,34,238,99,120,72,91,196,22,86,30,111,55,202,183,203,164
1022357,3,6,38,1,87.0,6.0,13,23,2.0,11.0,0.0,56,62,2.0,17.0,0.0,64,65,1.0,7.0,0.0,13,12,4.0,16.0,0.0,48,53,8.0,43.0,1.0,61.0,47.0,2.0,21.0,0.0,12.0,11.0,10.0,19.0,0.0,12.0,10.0,10.0,46.0,2.0,15.0,10.0,9.3,55.0,4.0,0.0,1.0,9.0,32.0,1.0,0.0,1.0,8.0,31.0,2.0,27.0,30.0,10.0,17.0,0.0,0,1,10.0,14.0,0.0,87,96,2.0,12.0,0.0,39.0,59.0,3.0,14.0,0.0,11.0,21.0,10.0,29.0,0.0,18.0,14.0,3.0,17.0,0.0,10.0,15.0,9.0,52.0,3.0,3.0,9.0,8.0,53.0,1.0,10.0,11.0,10.0,74.0,3.0,2.0,5.0,9.3,42.0,2.0,0.0,2.0,10.0,56.0,1.0,50,2,78,39,15,73,140,17,110,125,90,84,96,101,88,130,78,37,138,11,229,244
