Unnamed: 0,Match_id,Team1,Team2,Gender,Series/Competition,Toss_decision,Winner_runs,Winner_wickets,Players_1,Bat_Runs_1,Ball Faced_1,Over_1,Runs_1,Wicket_1,Players_2,Bat_Runs_2,Ball Faced_2,Over_2,Runs_2,Wicket_2,Players_3,Bat_Runs_3,Ball Faced_3,Over_3,Runs_3,Wicket_3,Players_4,Bat_Runs_4,Ball Faced_4,Over_4,Runs_4,Wicket_4,Players_5,Bat_Runs_5,Ball Faced_5,Over_5,Runs_5,Wicket_5,Players_6,Bat_Runs_6,Ball Faced_6,Over_6,Runs_6,Wicket_6,Players_7,Bat_Runs_7,Ball Faced_7,Over_7,Runs_7,Wicket_7,Players_8,Bat_Runs_8,Ball Faced_8,Over_8,Runs_8,Wicket_8,Players_9,Bat_Runs_9,Ball Faced_9,Over_9,Runs_9,Wicket_9,Players_10,Bat_Runs_10,Ball Faced_10,Over_10,Runs_10,Wicket_10,Players_11,Bat_Runs_11,Ball Faced_11,Over_11,Runs_11,Wicket_11,Players_12,Bat_Runs_12,Ball Faced_12,Over_12,Runs_12,Wicket_12,Players_13,Bat_Runs_13,Ball Faced_13,Over_13,Runs_13,Wicket_13,Players_14,Bat_Runs_14,Ball Faced_14,Over_14,Runs_14,Wicket_14,Players_15,Bat_Runs_15,Ball Faced_15,Over_15,Runs_15,Wicket_15,Players_16,Bat_Runs_16,Ball Faced_16,Over_16,Runs_16,Wicket_16,Players_17,Bat_Runs_17,Ball Faced_17,Over_17,Runs_17,Wicket_17,Players_18,Bat_Runs_18,Ball Faced_18,Over_18,Runs_18,Wicket_18,Players_19,Bat_Runs_19,Ball Faced_19,Over_19,Runs_19,Wicket_19,Players_20,Bat_Runs_20,Ball Faced_20,Over_20,Runs_20,Wicket_20,Players_21,Bat_Runs_21,Ball Faced_21,Over_21,Runs_21,Wicket_21,Players_22,Bat_Runs_22,Ball Faced_22,Over_22,Runs_22,Wicket_22
0,1000887,Australia,Pakistan,male,Pakistan in Australia ODI Series,bat,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000889,Australia,Pakistan,male,Pakistan in Australia ODI Series,bat,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000891,Australia,Pakistan,male,Pakistan in Australia ODI Series,field,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000893,Australia,Pakistan,male,Pakistan in Australia ODI Series,bat,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000895,Australia,Pakistan,male,Pakistan in Australia ODI Series,bat,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1001371,Australia,New Zealand,male,Chappell-Hadlee Trophy,bat,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001373,Australia,New Zealand,male,Chappell-Hadlee Trophy,field,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1001375,Australia,New Zealand,male,Chappell-Hadlee Trophy,bat,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1007649,Zimbabwe,India,male,India in Zimbabwe ODI Series,field,,9.0,PJ Moor,3.0,5.0,-,-,-,CJ Chibhabha,13.0,41.0,8,13,0,H Masakadza,14.0,21.0,2.3,19,0,CR Ervine,21,42,-,-,-,V Sibanda,5,20,-,-,-,Sikandar Raza,23,54,5,20,0,E Chigumbura,41,64,4,32,0,R Mutumbami,15,27,-,-,-,AG Cremer,8,11,10,47,0,TL Chatara,4,10,7,20,1,T Muzarabani,1,1,6,18,0,KL Rahul,100,115,-,-,-,KK Nair,7,20,-,-,-,AT Rayudu,62,119,-,-,-,DS Kulkarni,-,-,10,41,2,BB Sran,-,-,10,36,2,JJ Bumrah,-,-,9.5,19,4,AR Patel,-,-,10,25,1,YS Chahal,-,-,10,27,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1007651,Zimbabwe,India,male,India in Zimbabwe ODI Series,field,,8.0,H Masakadza,9.0,17.0,-,-,-,CJ Chibhabha,21.0,24.0,9,30,1,PJ Moor,1.0,9.0,-,-,-,V Sibanda,53,67,-,-,-,Sikandar Raza,16,41,1.5,7,1,E Chigumbura,0,1,2,12,0,R Mutumbami,2,14,-,-,-,AG Cremer,7,14,3,17,0,TL Chatara,2,6,8,38,0,T Muzarabani,5,10,3,13,0,-,-,-,-,-,-,KL Rahul,33,50,-,-,-,KK Nair,39,65,-,-,-,AT Rayudu,41,44,-,-,-,MK Pandey,4,1,-,-,-,BB Sran,-,-,6,16,2,DS Kulkarni,-,-,9,31,2,JJ Bumrah,-,-,6,24,1,AR Patel,-,-,7.4,21,1,YS Chahal,-,-,6,24,3,-,-,-,-,-,-,-,-,-,-,-,-
